category,question,answer1,answer2,answer3,answer4,correct
World of Warcraft,What year did World of Warcraft release?,2004,2005,2003,2006,1
World of Warcraft,What is the name of the WoW world?,Azeroth,Draenor,Nexus,Pandaria,1
World of Warcraft,Who is the Lich King?,Arthas,Illidan,Thrall,Varian,1
World of Warcraft,What race is Thrall?,Orc,Human,Troll,Dwarf,1
World of Warcraft,What class uses stealth in WoW?,Rogue,Mage,Warrior,Paladin,1
World of Warcraft,Who is the main villain of Burning Crusade?,Illidan,Arthas,Deathwing,Guldan,1
World of Warcraft,What expansion added Pandaren?,Mists of Pandaria,Cataclysm,Legion,Warlords,1
World of Warcraft,What is WoW's max level in Dragonflight?,70,60,80,75,1
World of Warcraft,What profession makes potions?,Alchemy,Blacksmithing,Enchanting,Mining,1
World of Warcraft,What raid is Onyxia in?,Onyxias Lair,Blackwing Lair,MC,Naxxramas,1
Movies,Who directed Jurassic Park?,Steven Spielberg,James Cameron,Ridley Scott,Peter Jackson,1
Movies,What movie features the quote 'I am your father'?,Star Wars,Matrix,Terminator,Gladiator,1
Movies,Who played Jack in Titanic?,Leonardo DiCaprio,Brad Pitt,Tom Cruise,Matt Damon,1
Movies,What is the highest grossing movie?,Avatar,Endgame,Titanic,Star Wars,1
Movies,What movie has a DeLorean time machine?,Back to the Future,Terminator,Matrix,Inception,1
Movies,Who is Iron Man?,Tony Stark,Bruce Wayne,Clark Kent,Peter Parker,1
Movies,What is the name of the hobbit played by Elijah Wood?,Frodo,Bilbo,Sam,Merry,1
Movies,What movie is about dreams within dreams?,Inception,Interstellar,Matrix,Tenet,1
Movies,Who directed Pulp Fiction?,Quentin Tarantino,Guy Ritchie,Nolan,Scorsese,1
Movies,What movie features a talking donkey?,Shrek,Toy Story,Ice Age,Aladdin,1
General Knowledge,What is the capital of Japan?,Tokyo,Kyoto,Seoul,Beijing,1
General Knowledge,How many continents are there?,7,5,6,8,1
General Knowledge,What is the largest ocean?,Pacific,Atlantic,Indian,Arctic,1
General Knowledge,How many sides does a hexagon have?,6,5,7,8,1
General Knowledge,What is the currency of the USA?,Dollar,Euro,Yen,Peso,1
General Knowledge,What is the fastest land animal?,Cheetah,Lion,Tiger,Gazelle,1
General Knowledge,What year did WW2 end?,1945,1944,1939,1950,1
